,title,location,predict_category
5024,Sales Engineer (Fintech),,marketing
5025,"Vp, Enterprise Data & Ai (Fintech)",US,management
5026,Broadcast Integrations Manager,US,management
5027,Radar Developer (Insurance),UK,development
5028,R&D Intern,US,development
5029,Experienced Product Designer (Design System),CR,design
5030,Security Leader (Vulnerability Management),US,security
5031,Content Creator Apprentice,UK,marketing
5032,Senior Site Reliability Engineer (AI Infrastructure Operations),US,devops
5033,Lead Product Designer (AI),UK,design
5034,Product Technology M&A Manager,US,management
5035,"Manager, Recruiting (GTM)",US,management
5036,"Director, Regional Operations, NAM",Canada,management
5037,"Senior Software Engineer, Fullstack",UK,development
5038,"Senior Software Engineer, Full Stack",US,development
5039,Senior Pricing Strategist (Fintech),US,management
5040,Sales Operations Manager (SaaS),US,marketing
5041,Senior Graphic Designer (Fintech),US,design
5042,Enterprise Revenue Enablement Manager (SaaS),US,marketing
5043,Sales Systems Engineer,US,marketing
5044,Senior Finance Manager (Fintech),US,management
5045,Platform Database Engineer,Argentina,development
5046,Platform Database Engineer,Colombia,development
5047,GTM Operations Associate (Fintech),UK,management
5048,Memory Circuit Design Engineer,US,development
5049,Director Of Ad Sales (Igaming),US,marketing
5050,Technical Account Manager,US,management
5051,Technical Program Manager (AI),US,management
5052,People Operations Manager,US,management
5053,Lead Ux Researcher,US,design
5054,It Systems Administrator,US,devops
5055,Data Analytics & Business Intelligence Manager,US,analytics
5056,Enterprise Account Executive,US,marketing
5057,Product Management Intern (AI),US,management
5058,Senior Software Engineer (Fintech),US,development
5059,Senior Software Engineer (Fintech),US,development
5060,"Associate/Avp, Quantitative Strategist (Fintech)",US,management
5061,Qa Engineer II (Fintech),US,qa
5062,Open Application (Fintech),Finland,management
5063,"Vp, Identity & Access Management (Fintech)",US,management
5064,Senior Microsoft Dynamics 365 Configurator (Fintech),US,development
5065,"Vp, Business Service Management (Fintech)",US,management
5066,Software Engineer II (Fintech),US,development
5067,Graphic Designer (Fintech),Finland,design
5068,"Vp, Fp&A (Fintech)",US,management
5069,"Engineering Manager, AI (Fintech)",US,management
5070,"Associate, FP&A",US,management
5071,Strategist III (Value Analytics),US,analytics
5072,"Vp, Sales Engineering (Fintech)",US,management
5073,"Vp, Privacy Compliance (Fintech)",US,management
5074,"Vp, Enterprise Systems, Workday (Fintech)",US,management
5075,Business Intelligence Lead (Fintech),US,analytics
5076,AI Transformations Manager (Fintech),US,management
5077,AI Engineer (Applied Scientist) (Medtech),US,development
5078,"AVP, Product - Online Banking (Fintech)",US,management
5079,Head of Strategic Finance (Fintech),US,management
5080,"AVP, Consumer Compliance, Fair & Responsible Banking, Fair Lending (Fintech)",US,management
5081,Principal Product Manager (AI/ML Personalization Platform),US,management
5082,Software Engineer Iii (Data Platform),US,development
5083,Sr. Product Manager (Integration Standards),US,management
5084,Tech Lead Manager (AI Engineering),US,management
5085,Senior Sales Development Representative (AI),US,marketing
5086,Talent Community Member (Healthcare),US,management
5087,Senior Customer Success Manager,US,management
5088,Gtm Strategy Manager (AI),US,management
5089,GTM Engineer (AI),US,management
5090,"Cx Partners Row Supervisor (Trilingual – English, Spanish & Portuguese)",Brazil,management
5091,"Senior Engineering Manager, Privacy & Data Security",UK,security
5092,National Channel Director (AI),US,management
5093,Senior GTM Technology Analyst,US,management
5094,Customer Success Engineer (Cybersecurity),Canada,management
5095,Programmatic Manager (AdTech),Europe,marketing
5096,Malware Researcher,CR,security
5097,Software Quality Engineer I,US,qa
5098,Principal Progression Economy Designer (Gamedev),US,design
5099,Intern,UK,management
5100,Senior Product Operations Manager (SaaS),UK,management
5101,Senior Product Operations Manager (SaaS),Ireland,management
5102,Senior Backend Engineer (AI Platform),UK,development
5103,Programmatic Manager (AdTech),Europe,marketing
5104,Senior Revenue Operations Specialist (SaaS),US,management
5105,Demand Generation Marketing Intern,US,marketing
5106,Sales Development Representative (AI),UK,sales
5107,"Associate Director, Managed Services",US,management
5108,Account Manager (Sales),Brazil,sales
5109,People & Culture Partner (Hr Generalist / Hrbp),US,management
5110,Content Marketing Intern,US,marketing
5111,Principal Value Engineer (AI),US,development
5112,"Lead Software Engineer (Java, Streaming)",US,development
5113,"Sr Software Engineer (Java, Streaming)",US,development
5114,"Director, Technical Accounting (SaaS)",US,management
5115,Senior Support Engineer,UK,development
5116,"Director, Compensation & Equity (Hrtech)",US,management
5117,Customer Success Manager,US,management
5118,Account Executive (Sales),US,sales
5119,Customer Onboarding Manager (SaaS),Canada,management
5120,Strategy & Operations Manager/Principal,US,management
5121,Product Owner,US,management
5122,Research Program Manager (Gamedev),US,management
5123,Global Finance Operations Process Automation Lead,US,management
5124,Sales Operations Specialist,US,management
5125,Product Success Specialist (Product Management),UK,management
5126,Sr. Product Success Manager (AI),UK,management
5127,Product Success Manager,UK,management
5128,Sales Learning & Development,France,marketing
5129,Sales Enablement Lead,France,marketing
5130,Technical Project Manager (Gamedev),Spain,management
5131,"Partner Lead, EMEA",,management
5132,Staff Data Engineer (AI),US,development
5133,Senior Data Engineer,US,development
5134,Design Thinking Strategist,US,design
5135,Phy Application Engineer (Ethernet),US,development
5136,Staff Analog Design Engineer,US,development
5137,Mid Market Account Executive,Canada,sales
5138,Software Developer (Java),Canada,development
5139,Senior Design Verification Engineer (AI),US,development
5140,Customer Support Specialist I,US,management
5141,Software Engineer (Starlink),US,development
5142,Memory Systems Firmware Development Engineer,US,development
5143,Product Manager Motors (Growth and Monetisation),Portugal,management
5144,Senior Staff Software Engineer (AI),US,development
5145,Visual Designer (SaaS),,design
5146,QA Specialist,Poland,qa
5147,QA Automation Engineer (Fintech),Russia,qa
5148,Team Lead of Affiliates (Nutra),Europe,management
5149,Demo Engineering Manager (AI),US,development
5150,It Project Manager (Sap),Canada,management
5151,"Senior Program Officer, Portable Memory & Context (AI)",US,management
5152,Client Services Associate I (Oncology),US,management
5153,Account Executive (Medtech),US,sales
5154,Senior Software Engineer (Oncology),US,development
5155,Technical Support Engineer II,US,development
5156,Senior Mixed-Methods Researcher (AI),US,analytics
5157,"Senior Software Engineer, Digital Experiences (Medtech)",US,development
5158,Bioinformatics Associate (Oncology),US,analytics
5159,"Senior Manager, Product Management (AI)",US,management
5160,"Senior Engineering Manager, Product Platform",US,management
5161,"Senior Engineering Manager, Data (AI)",US,management
5162,Trade Marketing Manager (Retail),UK,marketing
5163,"Sr Manager, Support",US,management
5164,"Senior Lead, Product Marketing (Accessories & Apparel)",US,marketing
5165,Developer Experience Engineer (AI),US,development
5166,"Designer, Lead (Accessories & Apparel)",US,design
5167,Senior Influencer Manager (Gamedev),Canada,marketing
5168,Ux Director (Game Development),Canada,design
5169,Project Manager,US,management
5170,Creative Strategist,US,marketing
5171,Data Scientist (Ai),US,analytics
5172,Producer (Game Development),Canada,management
5173,"Senior Lead Product Manager, Matching (Fintech)",US,management
5174,Learning & Development Advisor (Internship),Canada,management
5175,Customer Success Program Manager (Cybersecurity),US,management
5176,Specialist Quality Engineering,,qa
5177,"Manager, Account Executive (AI)",US,management
5178,"Director, Product Research & Insights",US,analytics
5179,Specialist - Software Engineering,,development
5180,Director Commercial Management Americas (Telecom),US,management
5181,Anti-Phishing Training Analyst,US,management
5182,Product Security Engineer,UK,development
5183,"Vp, Engineering",UK,management
5184,Qa Tester (Game Development),US,qa
5185,Product Security Engineer,US,development
5186,Senior Cloud Site Reliability Engineer,Singapore,devops
5187,Fullstack Software Dev Engineer II,US,development
5188,Product Design Intern (AI),US,design
5189,Sales Development Representative,US,sales
5190,Sr. Pricing Analyst,US,analytics
5191,Technical Sourcer (AI),US,development
5192,Senior Software Engineer,Ireland,development
5193,Creative Director,US,design
5194,"Analyst II, Strategy & Operations",Argentina,analytics
5195,Senior Director Real-World Data (Medtech),,analytics
5196,Senior Fullstack Software Engineer (AI),US,development
5197,Data Integrity Analyst,US,analytics
5198,Staff AI/ML Engineer (Fintech),US,development
5199,Contract Analyst (Healthcare),US,management
5200,"Director Of Product Management, Next Gen Ads (AI)",US,management
5201,"Senior Software Engineer, Data Platform",US,development
5202,"People Empowerer, Dedicated Service Advisor",US,management
5203,Implementation Consultant (Golf),US,management
5204,Implementation Consultant (Golf),US,management
5205,"Client Partner, Media (French Speaking)",UK,management
5206,Seo Channel Lead,US,marketing
5207,"Senior Software Developer, Ai (AI)",Canada,development
5208,Games User Researcher (Gamedev),UK,analytics
5209,"Senior Director, Privacy, Security & Data Compliance (AI)",US,management
5210,Deal Desk Manager (Fintech),US,management
5211,Data Architecture Lead (AI),US,analytics
5212,Senior Gameplay Animator (Game Development),US,design
5213,Lead Digital Verification Engineer (AI),UK,development
5214,Senior Staff ASIC Design Engineer,Canada,development
5215,Sr. Principal Product Engineer (EDA),US,development
5216,Senior Texture Artist (VFX),Canada,design
5217,Vendor Operations Lead (Healthcare),US,management
5218,Senior Software Engineer,US,development
5219,Territory Sales Manager (Medtech),US,sales
5220,Senior Software Engineer,,development
5221,Generalist Artist (Game Art),Canada,design
5222,Territory Sales Manager (Medtech),US,sales
5223,Salesforce Ba/Admin (Sales Cloud & Agentforce),US,management
5224,Senior Creature Technical Director (Gamedev),Canada,design
5225,Growth Marketing Lead (Gamedev),US,marketing
5226,Salesforce Ba/Admin (Sales Cloud & Agentforce),US,management
5227,Lead Crowd Technical Director (Gamedev),Canada,design
5228,Senior Effects Technical Director (Gamedev),Canada,design
5229,Crowd Technical Director (Gamedev),Canada,design
5230,Client Support Lead (Fintech),US,management
5231,"Associate Creative Director, Experiential",US,design
5232,Customer Success Manager (Edtech),US,management
5233,Lead Core Tech Engineer (Gamedev),,development
5234,Senior Software Engineer (AI),Peru,development
5235,Studio Operations Manager (Contract),US,management
5236,Senior Game Services Engineering Lead (Gamedev),US,development
5237,Senior Tester (Gamedev),Poland,qa
5238,Principal Progression Economy Designer (Gamedev),US,design
5239,"Growth Manager, Solutions (AI)",US,marketing
5240,Business Development Associate (Ai),US,marketing
5241,Account Manager (Media),UK,marketing
5242,Growth Product Manager (Style),Ukraine,marketing
5243,Sales Executive,Portugal,sales
5244,Sales Executive,Ireland,sales
5245,Devops Tools Support Engineer,Brazil,devops
5246,Middle Frontend Angular Developer,Russia,development
5247,Software Development Engineer (Gamedev),US,development
5248,"Manager, Client Services",US,management
5249,Principal AI Consultant (Healthcare Services),US,management
5250,Principal AI Consultant (Fintech),US,analytics
5251,Partner Executive,US,management
5252,Test Engineer,Sweden,qa
5253,Principal AI Consultant (Insurance),US,analytics
5254,Senior Product Owner (Fintech),Sweden,management
5255,Senior Fullstack Software Engineer (AI),US,development
5256,Lead Program Manager,US,management
5257,Senior Partner Manager (Dach),Germany,management
5258,Senior Sales Engineer (AI),Spain,sales
5259,Mid-Market Account Executive (Cybersecurity),US,sales
5260,Data Scientist (Data Science/ML),UK,analytics
5261,Digital Marketing & Sales Expert,,marketing
5262,Sellers Operation Manager (Ecommerce),France,management
5263,Junior Seller Success Manager (Ecommerce),UK,management
5264,Portfolio Strategy Analyst,Sweden,analytics
5265,Lead Generation Specialist,US,marketing
5266,Associate Product Manager,Ukraine,management
5267,Data Analyst (Fintech),Ukraine,analytics
5268,Machine Learning Software Engineer (AI),,development
5269,Martech Delivery Lead (Fintech),UK,marketing
5270,Talent Acquisition Partner (Hrtech),UK,management
5271,Business Development Manager (Sales),Spain,sales
5272,Business Development Associate (AI),US,sales
5273,Senior Internal Soc Analyst,UK,analytics
5274,Director – Strategic Insurance Partnerships (Fintech),US,management
5275,Sales Director (Cybersecurity),US,sales
5276,Sales Consultant,UK,sales
5277,Head Of Marketing,UK,marketing
5278,Junior Project Manager (Creative Design),Canada,design
5279,Mendix Developer,Portugal,development
5280,Field Marketing And Events (AI),Germany,marketing
5281,Technical Program Manager,UK,management
5282,Node.Js Developer,Portugal,development
5283,System Administrator,Portugal,devops
5284,Performance Creative Designer (Adtech),Latvia,design
5285,Senior Business Analyst,Portugal,analytics
5286,Devops Architect,Portugal,devops
5287,Solutions Architect,US,development
5288,"Director, Consult Partner - Mainframe Modernization",US,management
5289,Global It Category Management Consultant (Contract) (It),US,management
5290,Sales Director (Fintech),,sales
5291,"Director, Consult Partner - Mainframe Modernization",US,management
5292,"Director, Consult Partner (SLED Industry)",US,management
5293,Senior Fullstack Engineer (Ecommerce),US,development
5294,Senior Product Owner (Fintech),US,management
5295,Product Designer (Web3),,design
5296,Senior AI Engineer (Medtech),US,development
5297,Qa Engineer (Web3),Europe,qa
5298,Staff AI Scientist (AI),US,analytics
5299,Marketing Lead (Web3),France,marketing
5300,Aws Devops Platforms Engineer,UK,devops
5301,Senior Brand Marketing Lead - Strategy & Planning,UK,marketing
5302,Junior Data Engineer,Armenia,analytics
5303,Sales Manager (Fintech),UK,sales
5304,Senior Gameplay Animator (Game Development),US,development
5305,Senior Brand Marketing Lead - Strategy & Planning,UK,marketing
5306,Business Process Analyst,Netherlands,analytics
5307,Graphic Designer (Fintech),Uruguay,design
5308,Platform Reliability Engineer,UK,devops
5309,Platform Reliability Engineer,UK,devops
5310,Devops Engineer (Ai),UK,devops
5311,Content Writer (Fintech),Uruguay,marketing
5312,Marketing Coordination Manager (Fintech),Uruguay,marketing
5313,Video Motion Designer (Fintech),Uruguay,design
5314,Senior Net Software Engineer (Desktop),US,development
5315,Services Sales Representative (CXO),US,sales
5316,Qa Engineer (Fintech),UK,qa
5317,Senior Mobile Software Engineer (Fintech),Serbia,development
5318,Retail Sales Specialist,US,sales
5319,Application Security Analyst (Software),Portugal,development
5320,Senior Frontend Software Engineer,US,development
5321,Head Of Marketing (EHS),Portugal,marketing
5322,"Senior Manager, Hr Systems",US,management
5323,Junior Operations Support Specialist,Portugal,management
5324,Data Engineer Co-Op,Canada,analytics
5325,Data Engineer Intern,Germany,analytics
5326,Staff Application Engineer (Embedded),US,development
5327,Electronics Design Engineer II (MIL-AERO),US,development
5328,Lead Software Engineer (IoT),,development
5329,Software Engineer (Rust),Romania,development
5330,Senior Software Engineer (Documentation),Russia,development
5331,Americas Customer Application Support Internship,US,management
5332,Senior Project Manager,US,management
5333,Senior Game Services Engineering Lead (Rust),US,development
5334,Customer Solutions Advisor (SaaS),UK,management
5335,Production Art Director (Gamedev),US,design
5336,"Manager, Social Content & Community",US,marketing
5337,Customer Solutions Consultant (SaaS),UK,management
5338,Senior Product Marketing Manager (Academia),UK,marketing
5339,Cloud Security Engineer (AWS),UK,development
5340,Application Owner (Fintech),Mexico,management
5341,Customer Enablement Specialist (SaaS),UK,management
5342,Cloud Platform Architect (AWS),UK,development
5343,Technology Recruiter,Poland,management
5344,Product Recruiter (Fintech),Poland,management
5345,Senior Product Manager (Cash+Coaching),,management
5346,Distributed Systems Engineer (Data Platform),US,development
5347,Cloud Engineer (GCP),UK,development
5348,Design Recruiter,Poland,management
5349,Technical Marketing Intern (AI),US,marketing
5350,Business Developer (Fintech),UK,sales
5351,Associate (AI Engineering),UK,development
5352,Technical Specialist (AI Engineering),UK,development
5353,Staff Sdet Engineer,Brazil,qa
5354,Octopus In Colour Internship - Investor Relations And Comms (Fintech),UK,management
5355,AI Software Engineer (AI),Ireland,development
5356,Data Analyst,,analytics
5357,Business Analyst (Power BI),US,analytics
5358,Business Analyst (Power BI),US,analytics
5359,Sales Specialist,Latvia,sales
5360,Fullstack Engineer (Python & Javascript),US,development
5361,Technical Lead (Web3),Singapore,development
5362,Senior Software Engineer (DevOps),US,devops
5363,Senior Software Engineer (Platform Engineering),US,development
5364,Senior Software Engineer (Cloud Automation),US,development
5365,Research Scientist (Genomics),US,analytics
5366,Research Associate (RNA Delivery),US,analytics
5367,Engineering Manager (Release Pipeline),US,management
5368,"Practice Architect, M365/Workforce AI",US,development
5369,Research Associate (Genomics),US,analytics
5370,"Administrator, Public Sector Programs",Canada,management
5371,Gtm Product Manager (Cybersecurity),Canada,management
5372,Senior Technical Architect (Dell Technologies),Canada,development
5373,QA Engineer,Canada,qa
5374,Senior Solutions Marketing Manager (Microsoft),US,marketing
5375,Senior AI Engineer (Python),Canada,development
5376,Principal Data Or Applied Scientists For Search Relevance Metrics (AI),US,analytics
5377,Enterprise Program Manager (Fintech),US,management
5378,Philanthropic Strategy Officer (Finance),US,management
5379,Senior Site Reliability Engineer,Canada,devops
5380,Senior Site Reliability Engineer (AWS),US,devops
5381,Member Of Technical Staff – Copilot AI Evaluation Engineering Manager (AI),US,development
5382,Principal Product Designer (AI),US,design
5383,Enterprise Customer Success Manager (SaaS),US,management
5384,Senior Solution Consultant (AI),Canada,development
5385,Build Engineer (AI),US,development
5386,Engineering Manager (Ads Reporting),US,management
5387,Engineering Manager (Ads Reporting),US,management
5388,Machine Learning Engineer (AI),SA,development
5389,Principal Data Scientist (AI),US,analytics
5390,Sales Operations & Deal Desk Associate (SaaS),US,management
5391,Engineering Manager (Ad Serving Infrastructure),US,management
5392,Technical Program Manager (Advertising),US,management
5393,Engineering Manager (AdTech),US,management
5394,Principal Software Engineer (Ads),China,development
5395,Software Engineer (AI),China,development
5396,Focus Account Manager (Argentina),Argentina,sales
5397,Account Director (AI),Australia,sales
5398,"Manager, Fusion Center Operations (Autonomous Vehicles)",US,management
5399,Tech Support,SA,management
5400,Senior Software Engineer (AI),China,development
5401,Vice President/Senior Vice President (Fintech),US,management
5402,Cybersecurity Threat Researcher,UK,development
5403,Product Manager (AI),China,management
5404,Principal Software Engineering (AI),China,development
5405,New Business Sales Executive I,US,marketing
5406,Engineering Manager (Fintech),US,management
5407,"Principal, Data Science & Analytics (AI)",US,analytics
5408,Junior Data Engineer,Armenia,development
5409,"Manager, New Business",US,management
5410,Principal Applied Scientist (AI),China,development
5411,Programmatic Ad Operations Specialist (Adtech),US,marketing
5412,Account Executive (Enterprise / Strategic),US,marketing
5413,Sr. Content Strategy Director (Healthcare),US,marketing
5414,Microsoft Partner Development Manager (SaaS),US,marketing
5415,Analytics Consultant (SaaS),US,analytics
5416,Principal Software Engineer (AI),US,development
5417,Senior Software Engineer (AI),China,development
5418,Principal Software Engineer (Frontend/Fullstack) (AI),Canada,development
5419,Inventory Analyst (Adtech),Australia,analytics
5420,"Analyst, Revenue Operations",Mexico,analytics
5421,Payroll Operations Coordinator (Fintech),US,management
5422,Principal Product Manager (AI),US,management
5423,Customer Success Manager (SaaS),US,management
5424,Fullstack Engineer (AI),US,development
5425,Mid-Market Account Executive (MarTech),US,marketing
5426,"Senior Director, Communications – Office Of The Ceo, Microsoft Ai (AI)",US,management
5427,"Director, Corporate Audience Marketing",UK,marketing
5428,Technical Project Manager (Network),UK,management
5429,Account Manager New Sales (Clinical Solutions),UK,marketing
5430,Payroll Specialist Lead (Finance),US,management
5431,Principal Applied Scientist (AI),China,development
5432,"Director, Product Management (MarTech)",US,management
5433,Talent Development Specialist (Software),US,management
5434,Senior Premier Support Engineer,US,development
5435,"Enterprise Account Executive, Supplier Growth (Fintech)",US,marketing
5436,Senior Solutions Engineer (FP&A),Germany,development
5437,Experience Center Coordinator (Marketing),US,marketing
5438,Senior Software Engineer (AI),China,development
5439,Senior Product Marketing Manager (Fintech),US,marketing
5440,Director Of Data Engineering (AI),US,development
5441,Senior Account Executive (Federal),US,marketing
5442,Expansion Manager (Add On Products),US,marketing
5443,Senior Fullstack Engineer (Network Automation),CR,development
5444,Partner Sales Manager (AI),US,marketing
5445,Technical Marketing Manager,US,marketing
5446,Sales Development Representative (Healthcare),US,marketing
5447,Head Of User Experience (AI),UK,design
5448,"Manager, Sales Development (EMEA)",Ireland,marketing
5449,Business Transformation Management Solution Sales Executive (SAP),Japan,marketing
5450,Principal Product Designer (Health AI),UK,design
5451,Systems Engineer (AI),US,development
5452,Enterprise Account Manager (Cyber Security),SA,management
5453,Senior Customer Support Specialist (AI),UK,management
5454,Account Executive (Finland),Finland,marketing
5455,"Principal Product Designer, Health AI (AI)",UK,design
5456,Customer Account Manager,US,management
5457,Data & Service Engineer (AI),Spain,development
5458,Staff Product Manager,US,management
5459,Partner Alliance Analyst,US,management
5460,Systems Engineer (AI),,development
5461,"Enterprise Account Executive, Acquisition (SaaS)",Germany,marketing
5462,Senior Software Engineer (Ai),China,development
5463,Systems Engineer (AI),US,development
5464,"Senior Product Manager, Accounting (Fintech)",UK,management
5465,Frontend Engineer,Canada,development
5466,"Principal, Data Science & Analytics (AI)",US,analytics
5467,Enterprise Support Engineer,US,development
5468,Principal Software Engineering–Infra–Microsoft Copilot (AI),China,development
5469,Engineering Manager (SaaS),France,management
5470,Senior Software Engineer (AI),China,development
5471,Senior Technical Animator (Gamedev),Canada,design
5472,Senior Software Engineering–Web Fullstack (AI),China,development
5473,Principal Software Engineer (AI),US,development
5474,Product Director (Gamedev),UK,management
5475,Member Of Technical Staff (Rl Systems) (AI),UK,development
5476,Member Of Technical Staff (AI Safety),UK,development
5477,Ux Director (Game Development),Canada,design
5478,"Director, Ai Strategy & Operations Program Manager (AI)",US,management
5479,Senior Influencer Manager (Gamedev),Canada,marketing
5480,Senior Frontend Engineer (Angular/React),US,development
5481,Principal Data Science & Analytics (AI),US,analytics
5482,Producer (Game Development),Canada,management
5483,Principal Product Manager (AI),US,management
5484,Principal Frontend Engineer,Ukraine,development
5485,"Senior Director, Communications – Office Of The Ceo, Microsoft Ai (Ai)",US,management
5486,Enterprise Account Executive,US,marketing
5487,Enterprise Account Executive,US,marketing
5488,"Senior Applied AI Engineer, Image Generation (AI)",US,development
5489,Senior Producer (Gamedev),Canada,management
5490,"Global & Americas Manager, Partnership Management (Gamedev)",US,management
5491,Staff Frontend Engineer,Ukraine,development
5492,Technical Program Manager (AI),US,management
5493,"Principal Software Engineer (Distributed Systems, AI)",China,development
5494,Staff Frontend Engineer,US,development
5495,Pre-Sales,France,marketing
5496,Senior Frontend Engineer,Ukraine,development
5497,Principal Frontend Engineer,US,development
5498,"Principal Tech Lead Manager, Image Generation (AI)",US,management
5499,Member Of Technical Staff – Backend Engineer (AI),US,development
5500,Senior Technical Program Manager (AI),US,management
5501,Senior Ui Designer (Gamedev),Sweden,design
5502,Principal Product Manager (AI),US,management
5503,Senior Software Engineer (Gamedev),US,development
5504,Engineering Manager,Portugal,management
5505,Senior Backend Engineer (AI),US,development
5506,Principal Product Manager (AI),US,management
5507,Big Data Engineer (Fintech),US,development
5508,Ios Product Engineer (AI),France,development
5509,GCP Data Platform Product Owner,US,development
5510,Senior Talent Acquisition Partner (Gamedev),Spain,management
5511,Sales Engineer (Fintech),Mexico,marketing
5512,Senior Design Engineer (Mechanical),US,design
5513,Fullstack Software Engineer (AI),US,development
5514,Senior Software Engineer – Backend (AI),US,development
5515,Member Of Technical Staff (AI),US,development
5516,Senior Project Manager (Digital Messaging),US,management
5517,Member Of Technical Staff (AI),US,development
5518,Software Engineer Database Infrastructure,US,development
5519,Fullstack Engineer (React),US,development
5520,Senior Software Engineer (Web3),US,development
5521,Data & Applied Scientist II (AI),US,analytics
5522,Senior Analyst - Safety Operations (CSE),US,management
5523,Application Management Engineer,US,development
5524,"Senior Product Marketing Director, Public Sector (AI)",US,management
5525,Data Infrastructure Manager (AI),US,development
5526,Senior Network Engineer,US,development
5527,Security Engineer (Fintech),US,development
5528,Senior AI Deployment Architect,US,development
5529,Digital Product Manager (Fintech),US,management
5530,Senior AI Deployment Architect (AI),US,development
5531,Member Of Technical Staff (AI),US,development
5532,Manager-Applied Sciences/Machine Learning (AI),US,analytics
5533,Field Account Executive (Sales),US,marketing
5534,"Senior Software Engineer (Java, Python, Kafka, Streaming)",US,development
5535,Head Of User Acquisition (Igaming),Poland,marketing
5536,Principal Product Designer (AI),US,design
5537,"Manager, Statistical Programming Consultant (Fintech)",US,analytics
5538,Principal Applied Scientist – Auction & Bidding (AI),US,analytics
5539,Email Marketing Growth Manager,Serbia,marketing
5540,Senior Software Engineer (AI),US,development
5541,Senior Fullstack Software Engineer (AI),US,development
5542,Senior Software Engineer (AI),US,development
5543,Technical Service Operations Lead (SRE),Azerbaijan,devops
5544,Android Engineer (Fintech),US,development
5545,Principal Program Manager (AI),US,management
5546,Agent Design Manager (AI),UK,development
5547,Senior Member Of Technical Staff (Salesforce),US,development
5548,Character Artist (Gamedev),Canada,design
5549,Senior Backend Engineer (Python),US,development
5550,Vice President IT Strategy (Enterprise Systems),US,management
5551,Senior Marketing Data Scientist,Canada,analytics
5552,Operations Engineer (SRE),Azerbaijan,devops
5553,Tools Programmer (Gamedev),France,development
5554,Android Engineer (Fintech),US,development
5555,Senior Solutions Architect (Utilities),UK,management
5556,EMEA Talent Partner,Poland,management
5557,Data Scientist (AI),US,analytics
5558,Business Analyst (Gamedev),US,analytics
5559,Senior Lifecycle Marketing Manager (Fintech),Mexico,marketing
5560,Test Engineer (Defense),US,qa
5561,Product Designer (Web3),Canada,design
5562,Operations Engineer (SRE),Canada,devops
5563,Senior AI Product Engineer (Agentic Experience),Germany,development
5564,Senior Cpu Power Management Architect,US,development
5565,Senior Engineering Manager (AI Gateway),US,management
5566,Consulting Manager (Insurance),UK,management
5567,Principal Engineering Manager (AI),US,management
5568,Director Of People Operations,US,management
5569,Brand Designer (AI),US,design
5570,Senior Staff Technical Program Manager (AI),US,management
5571,Solutions Consultant (SaaS),US,marketing
5572,"Software Engineer III, Cloud (Ai)",US,development
5573,Regional Sales Director (Cybersecurity),UAE,marketing
5574,Implementation Consultant (Golf),Canada,marketing
5575,Senior Fullstack Software Engineer (AI),US,development
5576,GameDev Solution Architect,Cyprus,development
5577,Middle React Developer,,development
5578,Product Designer (Web3),Russia,design
5579,Senior Full Stack Developer (Node.js & React),Portugal,development
5580,Senior Ruby on Rails and React Developer,Georgia,development
5581,Head of Crypto (Web3),Europe,management
5582,Операционный директор,Russia,management
5583,Frontend Разработчик React/TypeScript,,development
5584,Senior QA Java Engineer,US,qa
5585,Field Account Executive (SaaS),UK,marketing
5586,Engineering Manager (Verifications),US,management
5587,English Adaptation Specialist (Gamedev),Poland,design
5588,Principal Data Scientist (AI),US,analytics
5589,Senior Manager Field Engineering (Retail),US,management
5590,Fullstack Engineer (Fintech),UK,development
5591,Бизнес-аналитик,Cyprus,analytics
5592,Middle PHP Developer,Armenia,development
5593,Member Of Technical Staff (AI),Switzerland,development
5594,Manager-Applied Sciences (AI/ML),US,analytics
5595,Platform Engineering Manager (AI),US,management
5596,Senior Data Analyst (Ecommerce),,analytics
5597,Principal Technical Program Manager (AI),US,management
5598,Senior Software Engineer (AI),US,development
5599,Principal Software Engineer (Distributed Systems),China,development
5600,Member Of Technical Staff – Developer Experience (AI),US,development
5601,Data Science Team Lead,,analytics
5602,Research Program Manager (AI),US,management
5603,Principal Product Manager (AI),US,management
5604,Staff Product Designer (AI),France,design
5605,Talent Sourcing Specialist,UK,management
5606,DevOps Engineer (AWS),Serbia,devops
5607,Junior+ Frontend Developer (React),,devops
5608,Senior Video Designer (Motion Design),,design
5609,Revenue Operations Analyst II (Fintech),Canada,analytics
5610,Revenue Operations Analyst II (Fintech),US,analytics
5611,Senior Android Security Engineer (Reverse Engineering),Russia,development
5612,DevSecOps Engineer,Russia,devops
5613,Middle/Senior DevOps Engineer,Serbia,devops
5614,Middle iOS Developer (SaaS),Russia,development
5615,QA Engineer (Core Team),Cyprus,qa
5616,Middle PHP Developer (Fullstack),Russia,development
5617,Senior Java Developer,Russia,development
5618,Middle+/Senior UX/UI Designer,Russia,design
5619,Senior Oracle Fusion Technical Consultant,India,development
5620,Data Scientist (Machine Learning),Kazakhstan,analytics
5621,Senior QA Engineer (Manual),Russia,qa
5622,Freelance Newsletter Editor,,design
5623,Engineering Manager (Data),UK,management
5624,PHP Developer (Bitrix24),Belarus,development
5625,Middle Frontend Developer (Vue),Russia,development
5626,Technical Co-founder (Fullstack),Russia,development
5627,CRM Manager (IGaming),,marketing
5628,Business Development Manager,Cameroon,marketing
5629,SMM-менеджер,Russia,marketing
5630,Agent Operations Regional Lead,Cameroon,management
